date,strategy_nav,csi500_nav,excess_nav,strategy_daily_ret,csi500_daily_ret,daily_excess,strategy_cum_ret,csi500_cum_ret,excess_cum,n_positions,cash,position_value,total_equity,oamv_state,oamv_divergence
2026-01-05,1.0,1.0,0.0,,0.024864,,-0.000213,0.0,0.0,9,58075.0,141882.0,199957.0,aggressive,none
2026-01-06,1.0177,1.0213,-0.0036,0.017729,0.021296,-0.003567,0.017512,0.021296,-0.003567,9,58075.0,145427.0,203502.0,aggressive,none
2026-01-07,1.0208,1.0293,-0.0085,0.002973,0.0078,-0.004827,0.020537,0.029261,-0.008507,9,58075.0,146032.0,204107.0,aggressive,none
2026-01-08,1.0376,1.0318,0.0058,0.016501,0.002471,0.01403,0.037377,0.031805,0.005793,9,58075.0,149400.0,207475.0,aggressive,none
2026-01-09,1.0561,1.053,0.0031,0.017819,0.020538,-0.002719,0.055862,0.052997,0.00309,9,58075.0,153097.0,211172.0,aggressive,none
2026-01-12,1.0802,1.0781,0.0021,0.022866,0.023886,-0.00102,0.080005,0.078148,0.002087,12,30198.0,185803.0,216001.0,aggressive,none
2026-01-13,1.052,1.0643,-0.0123,-0.02612,-0.012831,-0.013288,0.051796,0.064314,-0.012294,9,82990.0,127369.0,210359.0,aggressive,none
2026-01-14,1.0637,1.0753,-0.0116,0.011105,0.010366,0.000738,0.063476,0.075348,-0.011645,9,82990.0,129705.0,212695.0,aggressive,none
2026-01-15,1.0626,1.0748,-0.0121,-0.001018,-0.000538,-0.00048,0.062394,0.074769,-0.012149,8,97961.0,114518.0,212479.0,bullish,none
2026-01-16,1.0811,1.076,0.0051,0.017362,0.001144,0.016218,0.080839,0.075998,0.005071,8,97961.0,118207.0,216168.0,bullish,none
2026-01-19,1.0715,1.0832,-0.0117,-0.008845,0.006714,-0.015558,0.071279,0.083222,-0.011715,15,18184.0,196072.0,214256.0,bullish,bottom
2026-01-20,1.0624,1.078,-0.0156,-0.008511,-0.004843,-0.003668,0.062161,0.077976,-0.015588,14,23240.0,189192.0,212432.0,bullish,none
2026-01-21,1.0628,1.09,-0.0273,0.000345,0.011192,-0.010847,0.062527,0.09004,-0.027287,12,72583.0,139922.0,212505.0,bullish,none
2026-01-22,1.0697,1.0962,-0.0266,0.006494,0.005693,0.000801,0.069427,0.096246,-0.026591,12,72583.0,141302.0,213885.0,bullish,none
2026-01-23,1.0885,1.1227,-0.0342,0.017597,0.024151,-0.006554,0.088246,0.122722,-0.034244,11,86924.0,130725.0,217649.0,bullish,none
2026-01-26,1.0777,1.1118,-0.0341,-0.009916,-0.009717,-0.000199,0.077455,0.111812,-0.034128,13,42797.0,172694.0,215491.0,bullish,none
2026-01-27,1.0877,1.1173,-0.0296,0.009286,0.004965,0.00432,0.08746,0.117332,-0.029641,13,42797.0,174695.0,217492.0,bullish,none
2026-01-28,1.0947,1.1242,-0.0295,0.006437,0.00611,0.000327,0.09446,0.124159,-0.029467,13,42797.0,176095.0,218892.0,bullish,none
2026-01-29,1.0908,1.1133,-0.0225,-0.00355,-0.009687,0.006138,0.090575,0.113269,-0.022462,13,42797.0,175318.0,218115.0,bullish,none
2026-01-30,1.0819,1.094,-0.0121,-0.008128,-0.017296,0.009168,0.08171,0.094014,-0.012074,6,132232.0,84110.0,216342.0,bullish,none
2026-02-02,1.0609,1.0504,0.0104,-0.019493,-0.039839,0.020346,0.060625,0.05043,0.010421,10,52218.0,159907.0,212125.0,bullish,bottom
2026-02-03,1.0934,1.0831,0.0103,0.030671,0.031063,-0.000392,0.093155,0.083059,0.010329,10,52218.0,166413.0,218631.0,neutral,none
2026-02-04,1.0959,1.0847,0.0113,0.002328,0.001491,0.000837,0.0957,0.084674,0.011259,10,52218.0,166922.0,219140.0,neutral,none
2026-02-05,1.082,1.0647,0.0173,-0.012727,-0.01843,0.005703,0.081755,0.064684,0.017301,10,52218.0,164133.0,216351.0,neutral,none
2026-02-06,1.0795,1.0647,0.0148,-0.002275,3.8e-05,-0.002312,0.079294,0.064724,0.0148,8,85962.0,129897.0,215859.0,neutral,none
2026-02-09,1.096,1.0863,0.0097,0.015249,0.020238,-0.00499,0.095752,0.086272,0.009713,10,35132.0,184018.0,219150.0,defensive,top
2026-02-10,1.1016,1.0856,0.016,0.005124,-0.000582,0.005706,0.101367,0.08564,0.015962,10,35132.0,185141.0,220273.0,defensive,none
2026-02-11,1.1024,1.0882,0.0142,0.000699,0.002331,-0.001632,0.102137,0.088171,0.014201,10,35132.0,185295.0,220427.0,defensive,none
2026-02-12,1.1148,1.1009,0.0138,0.011237,0.011742,-0.000504,0.114522,0.100948,0.013812,10,35132.0,187772.0,222904.0,defensive,none
2026-02-13,1.1082,1.0847,0.0234,-0.005897,-0.014719,0.008822,0.10795,0.084743,0.023443,7,99937.0,121653.0,221590.0,defensive,none
2026-02-24,1.0833,1.0969,-0.0137,-0.022476,0.011245,-0.033721,0.083048,0.096941,-0.013662,11,34899.0,181711.0,216610.0,defensive,none
2026-02-25,1.1025,1.1145,-0.012,0.017769,0.016043,0.001726,0.102293,0.114539,-0.012012,11,34899.0,185560.0,220459.0,defensive,none
2026-02-26,1.0997,1.1184,-0.0187,-0.002588,0.003478,-0.006066,0.09944,0.118415,-0.018742,9,70274.0,149614.0,219888.0,defensive,none
2026-02-27,1.0992,1.1316,-0.0324,-0.000418,0.01183,-0.012249,0.09898,0.131646,-0.032433,9,70274.0,149522.0,219796.0,defensive,none
2026-03-02,1.1137,1.1316,-0.0179,0.013171,-1.3e-05,0.013185,0.113454,0.131631,-0.01794,12,28092.0,194599.0,222691.0,bullish,none
2026-03-03,1.0699,1.0824,-0.0125,-0.039288,-0.043509,0.004222,0.069709,0.082394,-0.012458,8,101650.0,112292.0,213942.0,bullish,none
2026-03-04,1.0753,1.0781,-0.0029,0.004969,-0.003945,0.008913,0.075024,0.078125,-0.002872,8,101650.0,113355.0,215005.0,bullish,bottom
2026-03-05,1.0748,1.086,-0.0112,-0.000423,0.007301,-0.007724,0.074569,0.085996,-0.011199,8,101650.0,113264.0,214914.0,bullish,none
2026-03-06,1.0679,1.0927,-0.0247,-0.006382,0.006157,-0.012539,0.067711,0.092683,-0.024745,6,133550.0,79992.0,213542.0,neutral,none
2026-03-09,1.0993,1.0821,0.0172,0.02934,-0.009671,0.039011,0.099037,0.082116,0.017156,13,42061.0,177746.0,219807.0,bullish,none
2026-03-10,1.1089,1.0992,0.0097,0.008804,0.015801,-0.006997,0.108713,0.099214,0.009735,12,54890.0,166853.0,221743.0,neutral,none
2026-03-11,1.0994,1.0983,0.0011,-0.00859,-0.000829,-0.007761,0.099189,0.098302,0.00112,11,84361.0,135477.0,219838.0,defensive,none
2026-03-12,1.0912,1.0926,-0.0014,-0.007515,-0.005219,-0.002296,0.090929,0.09257,-0.001409,11,84361.0,133825.0,218186.0,defensive,none
2026-03-13,1.0757,1.0769,-0.0013,-0.014194,-0.014316,0.000122,0.075444,0.076929,-0.001256,7,134375.0,80714.0,215089.0,defensive,none
2026-03-16,1.0665,1.0698,-0.0033,-0.008558,-0.006632,-0.001926,0.06624,0.069787,-0.00332,12,29909.0,183339.0,213248.0,defensive,none
2026-03-17,1.0366,1.0477,-0.0111,-0.028043,-0.020663,-0.00738,0.03634,0.047682,-0.011122,10,53470.0,153798.0,207268.0,defensive,none
2026-03-18,1.0516,1.0582,-0.0066,0.014484,0.01003,0.004454,0.05135,0.058191,-0.006617,10,53470.0,156800.0,210270.0,defensive,none
2026-03-19,1.0254,1.0295,-0.0042,-0.02492,-0.027091,0.00217,0.02515,0.029524,-0.004155,10,53470.0,151560.0,205030.0,defensive,none
2026-03-20,1.0051,1.0142,-0.0091,-0.019744,-0.01486,-0.004884,0.00491,0.014225,-0.009102,5,137171.0,63811.0,200982.0,defensive,none
2026-03-23,0.9921,0.9725,0.0196,-0.012955,-0.041146,0.02819,-0.008109,-0.027506,0.019608,9,29770.0,168608.0,198378.0,defensive,none
2026-03-24,1.0054,0.993,0.0125,0.013444,0.02105,-0.007606,0.005226,-0.007035,0.012475,9,29770.0,171275.0,201045.0,defensive,none
2026-03-25,1.0353,1.0152,0.0201,0.029729,0.022415,0.007315,0.03511,0.015222,0.020108,8,43443.0,163579.0,207022.0,defensive,none
2026-03-26,1.0171,0.9988,0.0183,-0.017587,-0.016161,-0.001426,0.016905,-0.001185,0.018307,8,43443.0,159938.0,203381.0,defensive,none
2026-03-27,1.0194,1.0113,0.0081,0.002252,0.012494,-0.010243,0.019195,0.011294,0.008118,8,43443.0,160396.0,203839.0,defensive,none
2026-03-30,1.0363,1.0134,0.0229,0.016585,0.002082,0.014503,0.036099,0.0134,0.02292,8,49696.0,157524.0,207220.0,defensive,top
2026-03-31,1.0371,0.9956,0.0415,0.000733,-0.017591,0.018324,0.036858,-0.004427,0.041506,7,79975.0,127397.0,207372.0,defensive,none
2026-04-01,1.0457,1.0129,0.0327,0.008277,0.01743,-0.009152,0.045441,0.012925,0.032738,6,95038.0,114050.0,209088.0,defensive,none
2026-04-02,1.0324,0.994,0.0384,-0.012717,-0.018684,0.005966,0.032146,-0.006,0.038365,6,95038.0,111391.0,206429.0,defensive,none
2026-04-03,1.0301,0.9848,0.0452,-0.002243,-0.009251,0.007008,0.029831,-0.015195,0.045245,6,95038.0,110928.0,205966.0,defensive,none
2026-04-07,1.0281,0.9895,0.0386,-0.001862,0.004801,-0.006663,0.027913,-0.010467,0.038599,9,38464.0,167119.0,205583.0,defensive,none
2026-04-08,1.0771,1.0384,0.0387,0.047616,0.049404,-0.001788,0.076858,0.038419,0.038668,9,38464.0,176908.0,215372.0,defensive,top
2026-04-09,1.0881,1.0323,0.0557,0.010192,-0.005855,0.016047,0.087833,0.032339,0.055725,9,38464.0,179103.0,217567.0,defensive,none
